wj;I
brjt;products of nature
brjt;flame, fire
brjj;burn
brbr;God Bes
brbr;inscription to golden amulet
brbr;hervorqüllen
brbrt;Fruit
brbs;bread
br(r);nonclitic particles
brrj;mysteries
brrj;sacrificial object
brrj-n-TT;protection
brhmt;protect
brq;milk
brk;apron
brk;hervorqüllen
brk;sun god
brkt;fire-breathing snake
brg;disease
brg;something you are not allowed to say
brg;disease
brgt;result, outcome, consequence
brgtjj;rot
brt;Noun
brt;goose or duck
brt;Fruit
brtj;Disease
bh;soda
bht;Graver
bhA;Verb
bhA;Noun: something edible
bhAjw;Noun
bhAw;fish
bhn;guts
bht;eviscerate
bhd;name of gods
bhd;emetic
bhd;Fruit
bH;Fruit
bH;chisel
bH;oil
bHwt;spit
bHn;vomit
bHn;flint
bHn;resin
bHn;be rebellious
bHn;outrage
bHnt;indignation
bHH;unruly
bHs;oil tree
bHs;genius; lives in jar
bHst;open
bHs;designation of a special character trait
bHs-jrtj;stride
bHqq;designation for patron gods of Osiris
bHkA;designation of standard bearers
bHdt;standards
bHdt;mineral from Nubia
bHdtjt;spinal cord
bHdw;kill
bxb;Mineral
bxn;curl
bxn;to become pregnant, to be
bxn;the morning
bxn;Pregnant
bxn;mother cow
bxnt;sapling
bxx;Dean
bxx;Designation of the testicles
bxx;Food stock
bxxw;Terebinth
bX;larger fruit
bX;dung
bX;stairs, throne
bXbX;lock of hair, curl
bXsw;tired, sleepy
bs;shipwrecked
bs;biting animal
bs;edible fish
bs;oil
bs;shout
bs;castaway
bs;mournful, lamenting
bs;going to
bs;cave
bs;throat
bs;damage
bs;turmoil
bs-StA;noun
bsA;Shepherd
bsA;Anointing cone
bsA;Part of the chariot
bsA;mold for making the figure of Osiris
bsAw;crime
bsj;become guilty
bsj;criminal
bsjt;run
bsw;disadvantage
bsw;Record
bsw;fish
bsw;Noun
bsw;<<in the name of God {Hry-ib btqtqw}>>
bsb;Dirt
bsbs;agitator
bsbs;chagrined
bsbs;put down
bsn;ejection
bsnt;escape
bsnw;run, hurry up
bsnw;to leave someone
bss;noun
bss;Job title
bsk;name of poisonous snake
bsk;name of an incurable disease
bstww;villain
bS;to oppose
bS;of the greyhound
bSA;Impudent
bSA;sacrilegious
bSA(t);Distress
bSj;sodium bicarbonate
bSw;clean with {bd} sodium
bSw;shine
bSS;emmer, spelt
bST;eye disease
bSTw;throne
bSTw;wrap up
bq;wear out, become flabby
bq;goddess
bqA;become despondent
bqjj;plant
bqbq;ball, sphere
bqn;mold
bqn;mold
bqn;Goose
bqn;Fired clay pot
bqnqn;Pole top
bqs;Cushion
bqsw;Oven
bk;Bird
bk;Stick
bk;Pedestal
bkA;Pedestal
bkA;City that later forms Buto
bkAt;Bird
bkAt;pitcher
bkAt;Sky
bkAtj;Pedestal
bkAtj;Philae
bkA-tAw;Heliopolis
bkj;Karnak
bkj;this
bkn;the
bkr;fly
bkk;have done something
bg;original state
bg;clothes
bg;Sacrifice cake
bg;primeval
bgt;distinguished ladies
bgAw;liquid
bgAw;name of the Mediterranean Sea
bg(A)w;because
bgb;drink
bgrt;epithet of Amun
bgs;Image of God
bgs;Month
bgs;Thing
bgsw;Sun god
bt;today
bt;Designation of the distinguished dead
bt;Waters
bt;canal of Edfu
btA;the two parties
btA;Younger
btA;this
btA;splendid fabric
btAt;mate
btj;name of the birds
btjn;part of the door latch
btn;officially used
btqtq;Designation for poultry
btk;keel >>
btk;Waters in the sky
btk;officially used
btk;Noun
btk;archetype
btktk;something that is not proper to say
bT;primeval
bT;primordial goddess
bTAw;load
bTj;primeval
bTw;woodworm
bTw;officially used plant
bTw;scratch
bTn;goddess of Speos Artemidos
bTn;officially used plant
bTn-jb;to be upside down
bTnw;to suffer, to faint
bTnw;scribe's water bowl
bd;fainting o ä
bd;Braürinnen
bd;Braürin
bdt;deity
bdj;fine, thin
bdj;thin patty
bdn;noun
bdS;fine linen
bdS;sheet
bdSt;shard of a clay vessel
bdS-Hr;name of the ladder
bdd;long for
bdd;fish
bD;mineral:
bD;squat, crouch
bDA;mineral
bDA;name for baboon
bDA;knee
bDA;kneel, walk
bDA;kneecap
bDAt;knee
bDw;bullet,
bDn;bread
bDn;this
bDnDn;flea
p;go to
p;copulate
p;rough
p;knead
p;keel beam
p;pastry
pt;pastry
pt;mock
p-jw-rq;product: mineral or plant
pt-n-kmt;spit
pt-Hr-sA-tA;People
pA;Pastry
pA;Epithet of {Tnnt}
pA;Bird
pA;Shore
pA;fire
pAt;give birth
pAt;shine
pAt;component of magic words
pAtt;morbid appearance on the neck
pA-jb;clever
pA-jm-aA-n-xArw;poultry
pA-wn;pastry
pA-wr;this
pA-wSb;who?
pA-mtr;sacrificial food
pA-n-jpt;that
pA-nkt;mate
pA-ra;Land punt
pA-hrw;verb
pA-Hsjj;mineral
pA-xAnn;statue group
pA-Xnw;Plant
pA-s-snw;Verb of movement
pA-Sr;Noun
pAj;Noun
pAj;clay brick, earth for brick
pAj;that
pAj;that
pAjt;there
pAjt;enemy
pAjt;this
pAjw;here
pAjpt?;Spindle
pAat;Firm
pAart;turn over
pAart;Reverse
pAw;Capsize
pAw;door lock
pAwt;something wrong
pAwt;to turn around several times, to turn around one's own axis
pAwt;mouse
pAwtj;scatter
pAwjw;spindle
pAx;twirl
pAx;strip
pAxt;burn
pAx-srt;earth
pAxd;ball
pAs;scoop
pAs;scoop bucket
pAswt;make up
pAswt;intestine worm
pAsxt;make fertile
pASt;Sun god
pAq;sun god
pAq;make fertile
pAq;House
pAqt;bird
pAqt;bean
pAqt;Place name
pAqt;Output
pAq-jb;Provisions issuing point
pAqr;Extract
pAqt?;26 Day of the lunar month
pAg;Winter season
pAg(A)w;Fruit
pATT;People of a god
pAd;Traür
pAd;Servant
pAd-mAst;epithet of god
pAD;Dendera
pAD;Place where sweets are made
pjt;Pithom
pj;Hero
pj;King snake
pj;prowess
pj;bold, brave
pjt;palace, king
pjp;feast at Osiris mysteries
pjpjt;armory
pjs;storehouse for fruits
pjsA;City of Buto
pjTA;Dendera
pjjT(j);Statünnian
pa;Festival of Upwaut
pat;Imperial sanctuary of Upper Egypt
pat;portable chapel
pat;vestibule
paA;house of the surplus
paj;City of Bubastis
paw;house of abundance
papa;Height
papa;Lotus
papa;villa
papajt;Birthplace
pan;Designation of the Mammisi
part;Birthplace
paTH;Library
pw;Library
pw;Imperial shrine of Buto
pw;Treasure house
pwj;City of Pnups in Nubia
pwj;embalming site
pwnt;Lower Egyptian Imperial Sanctuary
pwr;Sanctuary
pwg;Dendera
ppt;Dwelling
ppt;sanctuary
ppj;Theban sanctuary
ppw;annexes of a house
ppt;upper floor
ppt;treasure house
pf;harem
pfA;Sacrifice of the dead
pfA;first floor
pftjj;Maternity house, infant home
pn;Ptolemais in Upper Egypt
pn;Sirius rising
pn;4 day of the lunar month
pn-pA-mxjr;Storehouse
pna;Office of the scriptures
pnaj;Feast at Osiris Mysteries
pnajt;House of the morning
pnajt;sanctuary or institution
pnawt;animal body part
pnana;coming out, going out
pnw;Quarrelsome
pnn;fighting bull
pnn;bean
pnn;tie
pn(n);battlefield
pns;see
pns;Branch
pns;Name of the harem
pns;Servants
pns;people of the house
pnst;lose courage
pnq;brave
pnq;bravery
png;outstanding
pnt;to be born
pnd;die
pnd;come out on the call
pndtj;betray
pndn;to be accessible
pnD;rise, come out
pr;deliveries
pr;surplus
pr;soil after flooding
pr;drink
pr;shackles
prt;delta city
prt;saying
prt;jump around
prt;enjoy
prt;blossom
prt;blossom
prt;officially used from {wan} tree
prt;way of beating
prtjj;gift
pr-Axt;separate
pr-jSd;Peritios
pr-jtmw;separate, divide
pr-a;mineral from Elephantine
prt-a;waters in delta
prt-awj;viscera
pr-a-jb;udder
pr-aA;reach
prt-aAt;small body of water, swamp
pr-aHAw;sheaf
pr-aqt;bodily strength
pr-wADt;testicles
pr-wADt;orifices
pr-wab;grow old
prt-wp-wAwt;Festival in Karnak
pr-wr;12 day of the lunar month
pr-wr;grow old
pr-wrw;Designation of the extreme northern border
pr-wDAw;Holding rope of the ship
pr-bAstt;end of something
pr-baHt;officially used
pr-m-ws;aft
pr-m-nwnw;After
pr-mA;Deans
pr-mnat;Deans
pr-mrwt;end
pr-ms;northern end
pr-mDAt;marsh area at delta coast
pr-n-sSw;run
pr-nw;Runner
pr-nb;run of the Apis
pr-nbs;be strong
pr-nfr;strong
pr-nsw;lion
pr-nsr;snake
pr-nTr;separate
pr-rpjt;shrink
pr-hjn;chair with back
pr-hn;small goose
pr-hnw;goddess
pr-HA;fruit for beef fattening
pr-Hrj;drink from {pxA} fruit
pr-HD;split
pr-xnr;laxative
pr-xrw;equip
pr-Xrj;Plate
pr-sA;log
pr-swj;Wooden bird trap
prt-spdt;Anklet
prt-sm;field
pr-sxpt;epithet of Isis
pr-Sat;knowledgeable
prt-tpjt;cheerful
pr-dwAt;cheerfulness
pr-dwAw;sincere
pr-DAj;name of the uraeus
prj;from poison circulating in limbs
prj;storm
prj;to hang down, to be prostrated
prj;to turn, to turn over
prj;from an estate in the countryside
prj;name for sacrificial food
prj;contact
prj;border guard
prj;remedy
prjt;noun
prjt;Place name
prjj;Name of Dendera
prjw;Traveler
prj-jb;the two journeys of the sun
prj-a;share
prj-a;cult object
prj-m-mmwj;sea in the northeast
prj-m-Xt;heir to the throne
prj-r-pt;arms wrap around
prj-xrw;take care of
prj-Xr;ceremony at accession to throne
pra;orbital period of the celestial bodies
prw;name for water
prw;train
prw;baker, cook
prw;Bread
prw;measure for herb
prwt;jug or drink
prw-mAnw;Bread
prw-n-rA;cooking
prpr;cooking
prpr;cooking, baking
prx;bread
prx;food
prS;bite, prick
prS;bite, sting
prk;to be confused
prT;ship's hull
prT;work
prdjs;work performance
prD;share
prDn;half
phrt;mat
pH;the two
pH;halve
pH;midnight
pH;spit
pHt;saliva
pHtj;spittoon
pHtjj;timber
pHw;Designation of a servant
pH-jAwj;name of the testicles of Seth
pH-nTr;backbone, back
pH-spdt;move away from
pH-tnj;shine, shine
pHw;light
pHwt;official used
pHwj;nine
pHwj;New fabric
pHwj;Ship part:
pHwjt;Shining
pHwj-wDAt;Nine-ness
pHwj-xAw;Nine of the gods
pHww;Epithet of the sun god
pHww;Pelican
pHww;double back
pHn;helper
pHrr;official used
pHrr;day of the new moon
pHrr-Hp;share
pHtj;Disease
pHtj;Pustule
pHtj;noun
pHdtjj;cleave
pHD;split
pHD;turn away from
pHDw;term for adversary
pxt;officially used
pxt;divide
pxA;bread
pxA;pronounce
pxA;irrigated area in the delta
pxA;Osiris tomb district in Abydos
pxA;fragrant substance used in the preparation of kyphi
pxA;spread
pxA;way of sitting or standing
pxA;name of the earth god
pxAt;opening
pxAt;battlefield
pxAt;slaughter
pxA-jb;bowl, vessel
pxA-jb;foreign device
pxA-jb;open-hearted
pxA-Xt;astute
pxAt;munificent
pxpx;washing device
pxpx;of open wound
pxd;spit, saliva, spittoon
pXr;decorate, prepare
pXr;animal
pXr;kick
pXrt;see
pXrt;see!
pXrt;what?
pXrt;part of the sky
pXrt;waters
pXrt;evil being
pXrtj;string
pXrwjj;mule
pXr-jb;god Ptah
pXr-jH;open
pXr-wr;form
pXr-nst;prostrate
pXr-HA;swarm
pXr-HA=f-(r);scorpion
pXr-HA-jnb;(from the field ready for tilling]
pXrjt;Ship part
pXrw;Liquids
pXrXr;Noun
pXX;Fat
ps;measure for fruits
ps;box
ps;spread, destroy
ps;small ball, pill
ps;type of wood
pst;rib piece
psj;delta coast
psw;stretch, stretch out
psn;incense ball
psrgb;incense
psH;place name
psH;part of fishing net
psx;Measure for linen
psx-sp;Measure for incense
pss;Name for the sky
pss;Name of a cow
psS;Bow
psSt;Barbarian tribe
psSt;Troop
psStjj;Barbarian
psS-m-gswj;Archer
psS-n-grH;item
psg;walk far
psg;run far
psg;sharpen
psgw;food
pstj;name of the flood
psdd;sidewalls
psD;adhere
psD;application of the food
psD;Load
psD;dust
psD;Interest yield?
psD;offering bearer
psD;lift
psD;lift
psDt;weigh
psDt;carrier
psDt;something made of {wD}
psDtj;something made of semiprecious stone
psDtj;clothes container
psDwj;carrier of the image of the gods
psDj;load of a ship
psDn;Stretcher
psDntjw;stomach disease
pS;Weight
pS;Messenger
pSj;milk jug carrier
pSj;sail
pSn;carry load
pSn;sail
pSn;delivery of food
pSn;power
pSnt;threat
pSs;carrying service
pSs-kf;spitter
pSS;to be bald
pq;Bald
pqj;release
pqr;he
pqr;fabric for clothes
pgA;to be disgusted
pgA;laugh
pgA;hair
pgA;lock of hair
pgA;claw
pgA;epithet of Nechbet, [priestess of Nechbet
pgA;?
pgA;Lungs
pgA-jb;to be weak
pgA-Hr;Ferryman of the afterlife
pgA-Drt;Wage
pgAw;Carpenter
pgj;rope
pgs;wise
pgs;wise
pggt;syrian people
ptpt;worm, snake, maggot
ptr;maggot
ptr;maggoty flesh
ptr;nose
ptr;mad
ptr;the one with long beak
ptr;golden beaked
ptr;Thot
ptr;dissolve, dissolve
ptH;wig
ptH;cake
ptH;reward
ptx;reward
ptxt;tear off
ptt;get out fast!
ptt;to be desolate, to lie fallow
pd;be depressed
pdw;bare
pdwn;to be desolate
pdr;to rip open
pdr;to empty
pds;to urinate, to shit
pds;to be disgusted
pds;drink or oil
pdst;from working metal weapons
pdst;part of the collar
pdsw;jump, bounce
pdswt;extinguish
pD;vegetable substance
pD;name of fish
pD;wipe, wipe away
pD;plant in kyphi preparation
pD;sweat
pD;oil
pDt;sweat
pDt;fourth
pDt;tear out
pDt;four
pDt;apply, spread
pDt;writing
pDt;divide, chop
pDtj;part, piece
pDtj;tear off
pD-aHa;owl
pD-nmtt;in
pD-gst;as
pDj;take!
pDw;not
pDw;it is not
pDwj;who?
pDpD;see
fA;adverb
fAt;dead
fAt;lying
fAt;hurriedly
fAt-wAwA;on the right
fA-wdnt;daily
fAj;construction expression
fAj;with what?
fAj;on both sides
fAj;as a substitute for
fAj;in the hand of
fAj;through
fAj;predatory
fAjt;together with
fAjt;boastfully
fAjt;arbitrary
fAjt;near
fAjj;floating in the air
fAj-wxA;opposite
fAj-mhr;massacred
fAj-HtAw;lying
fAj-xnj;added
fAj-TAw;raw
fAw;hastily, hurriedly
fAw;temporarily
fAw;again
fAw;again
fAxw;at night
fAk;unhindered
fAk;without
fAg;before, before, before
fj;no
fj;outside
fjw;like this, in this way
fjT;behind
fa;in the periphery of
faA;really
fag;new
fagt;also
ff;today
ffjj;daily
fn;with it
fnfn;in public
fnfnw;even against his will
fnx;in the evening
fnx;in festive mood
fnx-jb;from the bottom of his heart
fnx-rA;with all his heart
fnxw;at
fnT;bound by horns = against will
fnT;unrighteously
fnTw;bound
fnD;also
fnD;unfinished
fnDtjj;outside
fnD-n-nb;outside of, without
fnDj;in the opinion
fx;in large number
fxx;next to someone
fxt;do not let
fqA;before
fqA;near
fqA;humbly coming
fqA;from front to back
fqA;more than
fqA;apart from
fk;joyfully
fk;in a violent way
fktj;predatory
fkA;in festive mood
fgA;in a humble attitude
fgA;in a humble attitude
fgn;in the face of, in front of
ft;from above, to above
ft;in the midst of
ft;above
ft;above
ftft;thanks to grace
ftft;towards, opposite
ftt;joyful, peaceful
ftt;in thousands
fttw;hurriedly
fd;before
fd;therein
fd;hands outstretched in praise
fd?;behind, after, after
fdt;afterwards
fdnw;afterwards
fdj;in the future
fdw;behind
fdfd;downstream
fdnw;in bent posture
fdq;inside
fdq;in the middle of the mountains
fdq;down
m;in the right place
m;everywhere
m;behind
m;<<in legal texts>>
m;in the vicinity of
m;in the neighborhood of
m;with what?
m;in inlay
m;at once
m;unlawfully
m?;in the manner of
m-Aw;in misery
m-jwms;on file
m-jfd;warm
m-jmnt;altogether
m-jmnjt;suddenly
m-jsp;violent
m-jSst;in company of
m-jtrtj;hurriedly
m-jdn;hurriedly
m-a;head down
m-a;burned
m-awA;burned
m-ab;in writing
m-aba;in contrast to
m-abw=f;completely
m-arw;clearly visible in front
m-ax;opposite of
m-aqA;raised
m-aDt;trembling
m-aDAw;in the beginning
m-wAH;because of
m-wADt;brewed
m-wnj;in diversity
m-wnwt;of different kinds
m-whm;hurriedly
m-whm-sp;in secret
m-wxA;inside
m-wsTn;at rest
m-wS;victorious
m-bAH;in chunks, broken metal
m-bjAt;in the manner of
m-bnr;all around
m-pAj-sxrw;together
m-pHwj;in bow
m-pXr;in bow
m-mAat;secretly
m-mAwt;if one has to
m-mjtt;wondering
m-mjn;heaps
m-mnt;illegitimately
m-mrwt;illegitimately
m-mrrt;above something
m-msDD=f;now
m-mSrw;purely
m-mk;on something
m-mtt;to someone's side
m-mtt-jb;in a messy state
m-mtr;thieving
m-nwHt-Hnwtj;in the morning
m-nf;furthermore
m-nTT;together
m-rA-a;unjustly
m-ra-bAk;in a wicked way
m-rwt;in an evil way
m-rwtj;in brick building
m-rx;Prisoner
m-rxt-aSA;as
m-rk=f;at
m-rdj;in the area
m-hAt-jrj;Sickle
m-hAw;Stern
m-hjms;Bow
m-HAt-r-pHwj;Antelope
m-HAw;Plant
m-HAw;new
m-Haawt;<<change with {mn}>>
m-Hwra;Flute
m-Hwtf;Tube
m-Hb;New
m-HfAt;Tree
m-HfAw;Noun
m-Hr;Sun and moon as sky eyes
m-Hrt;Ends
m-Hr-jb;Noun
m-Hrjt;ferryman in the sky
m-Hrw;white scimitar-horned antelope
m-Hst;see
m-Hsj;sight
m-Htp;sanctuary
m-xAw;tree
m-xAx;God of the 8 day of the lunar month
m-xft-Hr;Patron god of Osiris
m-xntj;Ferryman in the sky
m-xsfw;Area of Edfu
m-xt;13 lunar month day
m-xt;go blind
m-xt-nn;Lion
m-xt-nHH;Sphinx
m-xtw;Bier of Osiris
m-xd;Animal
m-Xms;seminal fluid in womb
m-Xnw;Lioness
m-Xnw-Dww;part of the temple
m-Xrw;Name for lion
m-st-jrj;Lioness
m-st-nbt;just, right, true
m-sA;Righteous
m-sA;to be right
m-sAHt;offering
m-sAHw;sail
m-sj;duck
m-samw;temple
m-sp;board
m-sfn;shore
m-snt;waters in the sky
m-sn-mnt;Waters
m-snn;part of door
m-srf;Fabric
m-sHwj;base, pedestal
m-sxAx;Rope
m-sxm;Right, Truth
m-sxnw;Goddess of truth
m-sxs;Bark of the Sun
m-sxsx;both truths
m-sxd;true
m-ss;Waters
m-ssf;wood
m-sS;sinless
m-sSAw;to be sacrificed
m-skmkm;pleasing
m-stj-m-Hr;light stone or light mineral
m-stj-n;to be justified
m-sTs;justification
m-sdAw;Blessed
m-SAa;name of the mirror
m-Sw;Correctness
m-Sbb;Preciousness
m-Sbb;Wind
m-Sbnw;Part of a ship
m-SrS;Noun
m-StAw;Novelty
m-qAb;New ground
m-qbb;Stick
m-qnt;stalk of grain
m-qnqn;refrain of a song
m-qd;Rays
m-qd;the renewed
m-kj-wa;Arms
m-ksw;Designation of the testicles
m-ksm;Mirror
m-ktkt;Incense burner
m-gAw=f;to be disobedient
m-gAgAwt;renew
m-gbgbt;enlighten
m-gns;west wind god
m-grg;write
m-gs-Hrj;tears
m-tA-wnwt;sadness
m-twr;the radiant one
m-tp;inscription to trapped animals in box
m-tp-mAa;Stick
m-tp-Sw;Fron
m-TAwt;Poor
m-dwAjt;to be decorated
m-dwn;Myrrh
m-dmD;Tree
m-DAjt;?
m-Dw;Bracelet
m-Dwt;Walk through land
m-Dbt;Cheetah
m-DnH;Dump Palm
m-Dr;Dumpalm fruit
m-Drj;renew
m-Drw;Deity
mA;West mountain
mA;needy
mA;misery
mA;displace
mA;Designation of the sky
mA;Pleasure house
mA;door
mAt;gossip
mAt;Wreath
mAt;rattle, castanets
mAt;kind wood or plant
mAtj;sheaf of grains
mAtj;burn
mAtjj;knife
mAtjj;wound, slaughter
mA-HA=f;kneel
mA-HD;collapse
mAA;dance
mAA;animal of red color
mAA;name of the grain
mAA;of Apophis snake
mAA-jt=f;knee
mAA-jt=f;apron
mAA-jt=f;sandbank
mAAt-Hr;part of the ship
mAA-sTj;the kneeling
mAA-kkwj;deities
mAj;?
mAj;Body part
mAj;Ladder
mAj;Mineral
mAj;Meal
mAjt;Name of the lying Osiris figure
mAjt;Tree
mAj-HsA;Plant
mAjt-HsAt;Scorpion
mAa;Staff
mAa;Goddess of the XII Gau of Upper Egypt
mAa;Wailing woman
mAa;noun; something that can be bitten
mAa;proclaim
mAa;granite
mAa;to conceive, to devise
mAa;praise
mAa;crown
mAa;lament
mAa;tree, plant
mAa;hard granite
mAa;lament woman
mAa;weep
mAa;Plant:
mAa;Plant:
mAat;officially used mineral substance
mAat;Priestess
mAat;servants who carry food
mAatj;Noun
mAatj;Medamut
mAatj;to be sleepy
mAaw;part of a construction of stones / a building
mAa-jb;bring
mAa-wab;come!
mAa-Hr-jb;take!
mAa-HD;water
mAa-xrw;Same
mAa-xrw;who there
mAa-xrw;like
mAat(jj);as if
mAaw;encouraging call to cattle
mAaw;part of ship
mAaw;mummy bandage
mAaw;urine
mAw;Same
mAwt;intoxicating drink
mAwt;Ship
mAwt;Way
mAwt;Cat
mAwt;Same
mAwt;transcript
mAwtj;likeness
mAwtj;Same
mAwtj;let us give!
mAw-Hr;like
mAwtj-Hr;how?
mAwA;like
mAwj;how?
mAwj;also
mAwj;like
mAwr;according to the ratio
mAwt;everyday
mAwt;as follows
mAwtjj;as before
mAwD;as recently
mAwD;in the manner of
mAwD;as
mAwD;- all, completely
mAwD;in the manner of
mAf;quite
mAft;eternal
mAft?;economic building?
mAfd;Spikes
mAfd;as well
mAfdt;Same
mAmA;Noun
mAmAw;House
mAmAwj;place of worship, tomb
mAmw;Equal to
mAnw;such
mAr;Cat
mAr;Metal device
mAr;Hairstyle
mAr;Cat headed
mArw;Oar
mAht;hatchet
mAH;officially used plant
mAH;fruits
mAH;today
mAHjjt;name of the contemporary of a living king
mAx;drink from grapes
mAX;Drink
mAs;waters
mAs;estate
mAs;here
mAs;so
mAs;Wood from Nubia
mAs;Semi-precious stone
mAs;Shepherd
mAs;Port
mAst;hatchet
mAst;oar
mAst;noun as toponym
mAstj;horned animal
mAsjjw;the high piece at the back of the red crown
mAstjw;noun
mAst;liver
mAsd;white crown
mAqt;plant from the Wadi Natrun
mAkj;goddess
mAgf;officially used fruit
mAt;woman title
mAt;edible part of cattle body
mAtt;foot bath
mAtt;ship
mAtj;mast, pile
mAtj;spars of ladder
mAtjt;eye
mAtjt;throwing wood
mAtn;fruit
mAT;something to beware of
mAT;noun
mAT;oar
mAT;thirty
mAT;spear
mAT;spear fighter
mATt;the thirty fields
mAT-rwDt;favorite harpoon
mATrt;Court of the thirty
mATrw;College of the thirty
mATrt;beheading block
mATt;embellish
mAd;give bastinado
mAdt;to be wound around
mAdjw;rope twisted from two cords
mAdw;torture instrument used to twist the limbs
mAdw;tassel
mAd(d);rod
mj;God
mj;sun ship in the morning
mj;happy
mj;dress of the gods
mj;book
mj;happy event
mj;stretch
mj;place of worship, grave
mj;oar
mj;noun
mj;roasting spit
mj;roast
mjt;roast piece
mjt;bold
mjt;torture tool
mjt;water
mjt;clothing fabric
mjt;name of a goddess
mjtj;vulture, vulture goddess
mjtj;Mother
mjtj;part of plants
mjtt;Weight of the scales
mj=n;Birthplace
mjtt-jrj;Tub
mj-jx;Grandmother
mj-jxt;Dancer at funeral
mj-jSst;Holy water
mjtt-pw;Name of the cataract
mj-nt;Rain
mj-rA-n;liquid
mj-ra-nb;Caustic soda
mj-xpr;Gum water
mj-xnt;Mother of God
mj-sp-tpj;Womb
mj-sxrw;Name of the Euphrates
mj-sSm;Urine
mj-qj;Seed
mj-qd;be wet
mj-qd=f;Moisture
mj-Dt-Dt;abyss
mjAt;saliva
mjAs;water jugs
mjj;raw, uncooked
mjj;assistance
mja?;to die, to be dead
mjat;dying, death
mjaHat;Dead
mjtw;as a haunting being
mjw;Sound of a newborn
mjw;Sledge
mjw;grain seven
mjw;malachite
mjw;rejoice, delight
mjwtj;Hathor
mjwH;malachite shining
mjbt;malachite
mjmt;green of plants
mjmj;joy
mjn;Name of Hathor
mjn;Wadi Maghara
mjn;Name of the papyrus
mjnt;Gods
mjnt;pass through
mjnt;Animal
mjnA;Part of the fish net
mjnA;Flute
mjnjxs;Myrrh
mjnw;Fruits
mjnw;giraffe
mjnw;edible plant
mjnwt;not being present
mjnb;not being present
mjHw;receive
mjxt;remain, be solid
mjst;remain, the remainder is
mjs(t);the and the, NN
mjs;sacrifice
mjst;jar
mjswt;fabric for dress
mjswt;measure for dress fabric
mjkt;to be sick
mjkAt;Suffering
mjtrt;product from Syria
mjdA;Mountain
ma;<<change with {mA}>>
mat;who?
maA;transfer
maAawj;be separated
majt;board game
majAt;the and the, NN
majrt;way
maa;disease
maamA;swallow
mawHw;lion shaped goddess
mabA;thigh
mabA;root
mabA;melting fire
mabAw;waters
mabA-Hswtj;sky
mabAjt;Content
mabAjjw;Ribbon
maf;Barque
man;bowl, jug
man;lap on which the child sits
mann;Mountain ranges in the east and west of the Nile
mann;Shares
mann;chest
manxt;the wretch
manxt;coal fire
manxtj;steadfast
manDt;likewise
mar;coffin
mar;throne
mar;priest title
mar;he has not
mar-sp;Memphis
maHA;be angry
maHat;jug
maHw;stand for water donation
maS;steadfast
maq;land
maq;bestow
maq;pasture
makA;succor, helper
maD;official used
mw;thigh
mw;worker
mwt;Landing peg
mwt;Designation of the Isis
mwt;Pasture of the geese
mwt;Necklace
mwt;Hathor
mwt;Singer in Dendera
mwt;Noun
mwt wrt;Material to figures
mww;Root
mw-jrpw;pigeon
mw-bjn;edible body part of cattle
mw-nw-pt;farmer
mw-nw-mstj;Jewel
mw-nw-Hsmn;necklace with menite
mw-nw-qmjt;reach the goal
mwt-nTr;body part of woman
mwt-rmT;punishing gods
mw-qdw;shepherd
mwj;shepherd tent
mwj;port
mwj;epithet of Anubis
mwj;suckle
mwjt;wet nurse
mwjt;milk cows
mwjt-rA;educator
mwjjw;possession
mwmw;Suffering
mwnf;Stay
mwt;Monument
mwt;Statü
mwt;Obelisk
mwtt;Trees
mbj;Name of a fragrant plant
mfx;Water body with water plants
mfx;club
mfk;precious stone
mfk;fortress
mfkt;thread
mfk-xaw;ship
mfkAt;god min
mfkAt;noun
mfkAt;Pigeon
mfkAt;rich in monuments
mfkAt;Hathor cow
mfkAt;incense
mfkAtjw;clean
mfd;land in the east
mm;plant
mm;Sky
mmt;Dress
mmAa;breast, udder
mmj;Drug
mmj;Jewelry ribbon
mmt;Soldiers
mn;Bracelet
mn;ankle band, bracelet
mn;bed
mn;move
mn;copulate
mn;herd
mn;place name
mn;step out
mn;to be sinuous
mn;mine
mn;fortress
mn;annals
mn;asphalt
mn;part of a grave
mn;Noun
mn;Pitcher
mn;Stone, rock
mn;Begatter
mnt;aphrodisiac
mnt;Morning
mnt;phallus and back united; sexual organ
mnt;Guardian
mnt;Writing utensil
mnt;Wax
mnt;Papyrus plant
mnt;youth, lad
mnt;rejoice
mnt;slaughter
mnt;bad fate, bad destiny
mnt;Young
mnt;battle block
mnt;goddess of the papyrus scepter
mntj;name of the uraeus snake
mntj;Foam
mntj;Butcher
mntj;Homage gift
mntj;chisel
mntjj;chisel
mnw;right, excellent
mn-jb;designation for large piles
mnt-jrj;designation for dishes
mn-anx;rejoice
mn-bjt;to hang
mn-bjt;cord of the amulet
mn-mdj=f;excellence
mn-nfr;technique
mn-Hr-jb;epithet of Hathor
mntj-Hr-a;dress, garment
mn-Xr-nww;Noun
mn-Tbt;Name of the month Paophi
mnj;Staff
mnj;tassel
mnj;with effective magic
mnj;Byword of the mirror
mnj;Aptitude
mnj;deity
mnj;plant
mnj;legs
mnjt;locality near Heliopolis
mnjt;phallus erection
mnjt;jar
mnjt;erection of the phallus
mnjt;sacred serpent in the dungeon of Aphroditopolis
mnjt;king's ring
mnjt;wooden bowl in cartouche form
mnjt;stamp with king ring
mnjt;ship
