=i҆|I
bḳbḳ|Designation of a special character trait
bḳn|stride
bḳn|Name for the protective gods of Osiris
bḳn|Designation of the standard bearer
bḳnḳn|Standards
bḳs|Mineral from nubia
bḳsw|Spinal cord
bk|kill
bk|mineral
bk|Curl
bkꜣ|get pregnant, be pregnant
bkꜣ|the tomorrow
bkꜣt|Pregnant women
bkꜣt|Suckler cow
bkꜣt|Sapling
bkꜣti҆|dean
bkꜣti҆|Designation of the testicles
bkꜣ-tꜣw|Supply of food
bki҆|Terebinth
bki҆|larger fruit
bkn|Damn
bkr|Stairs, throne
bkk|Lock of hair, curl
bg|be tired, sleepy
bg|Shipwrecked
bg|biting animal
bg|edible fish
bgt|oil
bgꜣw|shouting
bgꜣw|Shipwrecked
bg(ꜣ)w|miserable, plaintive
bgb|go to
bgrt|cave
bgs|throat
bgs|damage
bgs|revolt
bgsw|noun
bt|Shepherd
bt|Ointment cones
bt|Part of the car
bt|Mold for making the figure of Osiris
btꜣ|crime
btꜣ|get guilty
btꜣ|Criminal
btꜣ|to run
btꜣt|Disadvantage
bti҆|plate
bti҆n|fishes
btn|noun
btḳtḳ|<< in the name of God {Hry-ib btqtqw} >>
btk|dirt
btk|rebel
btk|distressed
btk|put down
btk|Expectoration
btktk|escape
bṯ|run, hurry up
bṯ|to leave someone
bṯꜣw|noun
bṯi҆|Job title
bṯw|Name of the venomous snake
bṯw|Designation of an incurable disease
bṯw|villain
bṯn|oppose
bṯn|from greyhound
bṯn-i҆b|Outrageous
bṯnw|Wrongdoers
bṯnw|distress
bd|Baking soda
bd|clean with {bd} soda
bd|to shine
bdt|Emmer, Spelt
bdi҆|Eye disease
bdi҆|throne
bdn|wrap
bdš|weary, become limp
bdšt|goddess
bdš-ḥr|show themselves discouraged
bdd|plant
bḏ|Ball, ball
bḏ|mold
bḏꜣ|mold
bḏꜣ|goose
bḏꜣ|Burnt clay pot
bḏꜣ|Mast top
bḏꜣ|pad
bḏꜣt|oven
bḏw|bird
bḏn|floor
p|Pedestal
p|base
p|City that later forms Buto
p|bird
p|jug
pt|sky
pt|Pedestal
p-i҆w-rḳ|Philae
pt-n-kmt|Heliopolis
pt-ḥr-sꜣ-tꜣ|Karnak
pꜣ|this
pꜣ|the
pꜣ|to fly
pꜣ|have done something
pꜣ|Original state
pꜣt|dress
pꜣt|Sacrificial cake
pꜣt|Primeval times
pꜣtt|genteel ladies
pꜣ-i҆b|liquid
pꜣ-i҆m-ꜥꜣ-n-ḫꜣrw|Name of the Mediterranean
pꜣ-wn|because
pꜣ-wr|drink
pꜣ-wšb|Amun's epithet
pꜣ-mtr|Idol
pꜣ-n-i҆pt|month
pꜣ-nkt|Thing
pꜣ-rꜥ|Sun god
pꜣ-hrw|today
pꜣ-ḥsi҆i҆|Designation of the noble dead
pꜣ-ḫꜣnn|Waters
pꜣ-ẖnw|Edfu Canal
pꜣ-s-snw|the two parties
pꜣ-šr|Younger
pꜣi҆|this
pꜣi҆|magnificent fabric
pꜣi҆|copulate
pꜣi҆t|Name of the birds
pꜣi҆t|Part of the door lock
pꜣi҆t|officially used
pꜣi҆w|Term for poultry
pꜣi҆pt?|Kiel >>
pꜣꜥt|Waters in the sky
pꜣꜥrt|officially used
pꜣꜥrt|noun
pꜣw|Archetype
pꜣw|something that is not proper to say
pꜣwt|Primeval times
pꜣwt|Primal goddess
pꜣwt|load
pꜣwti҆|primeval
pꜣwi҆w|Woodworms
pꜣḫ|officially used plant
pꜣḫ|scratch
pꜣḫt|Goddess of Speos Artemidos
pꜣḫ-srt|officially used plant
pꜣḫd|be upside down
pꜣs|suffer, pass out
pꜣs|The scribe's water bowl
pꜣswt|Fainting or similar
pꜣswt|Brewers
pꜣsḫt|Brewer
pꜣšt|Deity
pꜣḳ|fine, thin
pꜣḳ|thin flatbread
pꜣḳ|noun
pꜣḳt|finest linen fabric
pꜣḳt|sheet
pꜣḳt|Shard of a clay pot
pꜣḳt|Name of the ladder
pꜣḳ-i҆b|yearn for
pꜣḳr|fish
pꜣḳt?|Mineral:
pꜣg|squat down, squat together
pꜣg(ꜣ)w|mineral
pꜣṯṯ|Name for baboon
pꜣd|knee
pꜣd|kneel, run
pꜣd-mꜣst|Kneecap
pꜣḏ|knee
pꜣḏ|Bullet,
pi҆t|loaf
pi҆|this
pi҆|Escaped
pi҆|go to
pi҆|copulate
pi҆t|rough
pi҆p|knead
pi҆pi҆t|Keel beam
pi҆s|Pastries
pi҆sꜣ|Pastries
pi҆ṯꜣ|mock
pi҆i҆ṯ(i҆)|Product: mineral or plant
pꜥ|spit
pꜥt|people
pꜥt|Pastries
pꜥt|Nickname of the {Tnnt}
pꜥꜣ|bird
pꜥi҆|shore
pꜥw|Fire
pꜥpꜥ|give birth
pꜥpꜥ|to shine
pꜥpꜥ|Part of magic words
pꜥpꜥi҆t|abnormal appearance on the neck
pꜥn|Smart
pꜥrt|poultry
pꜥṯḥ|Pastries
pw|this
pw|who?
pw|Sacrificial foods
pwi҆|that
pwi҆|copulate
pwnt|Land punt
pwr|verb
pwg|mineral
ppt|Statue group
ppt|plant
ppi҆|Verb of movement
ppw|noun
ppt|noun
ppt|Clay brick, earth for brick
pf|that
pfꜣ|that
pfꜣ|There
pfti҆i҆|enemy
pn|this
pn|here
pn|spindle
pn-pꜣ-mḫi҆r|Firmly
pnꜥ|turn over
pnꜥi҆|Wrong
pnꜥi҆t|Capsized site
pnꜥi҆t|Door lock
pnꜥwt|something wrong
pnꜥnꜥ|turn around several times, turn around your own axis
pnw|mouse
pnn|sprinkle
pnn|spindle
pn(n)|twirl
pns|take off
pns|burn
pns|earth
pnst|Bullet
pnḳ|scoop
pnḳ|Bucket
pnt|squeeze out
pnd|Intestinal worm
pnd|make fertile
pndti҆|Sun god
pndn|Sun god
pnḏ|make fertile
pr|House
pr|bird
pr|Bean
pr|Place name
pr|output
prt|Provisioning point
prt|abstract
prt|26 day of the lunar month
prt|Winter season
prt|fruit
prt|One god people
prt|Sadness
prt|Servant
prti҆i҆|God epithet
pr-ꜣḫt|Dendera
pr-i҆šd|Place where sweets are made
pr-i҆tmw|Pithome
pr-ꜥ|hero
prt-ꜥ|King snake
prt-ꜥwi҆|Proficiency
pr-ꜥ-i҆b|bold, brave
pr-ꜥꜣ|Palace, king
prt-ꜥꜣt|Festival at Osirismysteria
pr-ꜥḥꜣw|Armory
pr-ꜥḳt|Storage for fruits
pr-wꜣḏt|City of Buto
pr-wꜣḏt|Dendera
pr-wꜥb|Statue niche
prt-wp-wꜣwt|Festival of the Upwaut
pr-wr|Imperial Shrine of Upper Egypt
pr-wr|portable chapel
pr-wrw|vestibule
pr-wḏꜣw|house of surplus
pr-bꜣstt|City of Bubastis
pr-bꜥḥt|House of Abundance
pr-m-ws|height
pr-m-nwnw|lotus
pr-mꜣ|villa
pr-mnꜥt|Birthplace
pr-mrwt|Name of Mammisi
pr-ms|Birthplace
pr-mḏꜣt|Library
pr-n-sšw|Library
pr-nw|Imperial shrine of Buto
pr-nb|Treasure house
pr-nbs|City of Pnups in Nubia
pr-nfr|Embalming site
pr-nsr|Lower Egyptian imperial sanctuary
pr-nṯr|Sanctuary
pr-rpi҆t|Dendera
pr-hi҆n|flat
pr-hn|Sanctuary
pr-hnw|Theban Sanctuary
pr-ḥꜣ|Additions to a house
pr-ḥri҆|upper floor
pr-ḥḏ|Treasure house
pr-ḫnr|harem
pr-ḫrw|Dead sacrifice
pr-ẖri҆|ground floor
pr-sꜣ|Maternity home, infant home
pr-swi҆|Ptolemais in Upper Egypt
prt-spdt|Sirius Rise
prt-sm|4 day of the lunar month
pr-sḫpt|Storehouse
pr-šꜥt|Office of the Scriptures
prt-tpi҆t|Festival at Osirismysteria
pr-dwꜣt|House of the morning
pr-dwꜣw|Sanctuary or institution
pr-ḏꜣi҆|animal body part
pri҆|come out, go out
pri҆|Argumentative
pri҆|Fighting bull
pri҆|Bean
pri҆|Bandage
pri҆|Battlefield
pri҆|see
pri҆t|branch
pri҆t|Name of the harem
pri҆i҆|servant
pri҆w|People from the house
pri҆-i҆b|Lose heart
pri҆-ꜥ|proficient
pri҆-ꜥ|bravery
pri҆-m-mmwi҆|pour out
pri҆-m-ẖt|to be born
pri҆-r-pt|to die
pri҆-ḫrw|come out on the call
pri҆-ẖr|betray
prꜥ|be accessible
prw|Ascent, going out
prw|Deliveries
prw|excess
prw|Arable soil after flooding
prw|drink
prwt|tie up
prw-mꜣnw|Delta City
prw-n-rꜣ|Saying
prpr|jump around
prpr|enjoy
prḫ|to flourish
prḫ|blossom
prš|officially used from the {wan} tree
prš|Type of beating
prk|gift
prṯ|separate
prdi҆s|Peritios
prḏ|separate, share
prḏn|Mineral from elephantine
phrt|Waters in the delta
pḥ|guts
pḥ|udder
pḥ|to reach
pḥ|small body of water, swamp
pḥt|sheaf
pḥti҆|physical strength
pḥti҆i҆|Testicles
pḥw|openings
pḥ-i҆ꜣwi҆|to become old
pḥ-nṯr|Festival in Karnak
pḥ-spdt|12 day of the lunar month
pḥ-tni҆|to become old
pḥw|Designation of the extreme northern limit
pḥwt|Holding rope of the ship
pḥwi҆|End of something
pḥwi҆|officially used
pḥwi҆|located at the rear
pḥwi҆t|nach
pḥwi҆-wḏꜣt|Deans
pḥwi҆-ḫꜣw|Deans
pḥww|end
pḥww|north end
pḥww|Wetland on the delta coast
pḥrr|to run
pḥrr|runner
pḥrr-ḥp|Spout of the Apis
pḥti҆|be strong
pḥti҆|vigorous
pḥti҆|lion
pḥdti҆i҆|Snake
pḥḏ|separate
pḥḏ|shrink
pḥḏw|Chair with backrest
pḫt|little goose
pḫt|goddess
pḫꜣ|Fruit for fattening beef
pḫꜣ|Drink made from {pxA} fruit
pḫꜣ|columns
pḫꜣ|laxative
pḫꜣ|equip
pḫꜣ|plate
pḫꜣ|Log
pḫꜣ|Wooden bird trap
pḫꜣt|Ankle cuffs
pḫꜣt|Fields
pḫꜣt|Nickname of Isis
pḫꜣ-i҆b|knowledgeable
pḫꜣ-i҆b|bright
pḫꜣ-i҆b|Happiness
pḫꜣ-ẖt|sincere
pḫꜣt|Name of the Uraeus
pḫpḫ|of poison circling in limbs
pḫpḫ|storm
pḫd|to hang down, to be prostrate
pẖr|turn around, turn around
pẖr|from a country estate
pẖr|Name for sacrificial dishes
pẖrt|Handling
pẖrt|Border guard
pẖrt|Remedies
pẖrt|noun
pẖrt|Place name
pẖrt|Name of Dendera
pẖrti҆|Traveller
pẖrwi҆i҆|the two journeys of the sun
pẖr-i҆b|Take part
pẖr-i҆ḥ|Cult object
pẖr-wr|Sea in the northeast
pẖr-nst|Heir to the throne
pẖr-ḥꜣ|Arms wrap around
pẖr-ḥꜣ=f-(r)|to care about
pẖr-ḥꜣ-i҆nb|Accession ceremony
pẖri҆t|Orbital period of the stars
pẖrw|Name for water
pẖẖ|train
ps|Baker, cook
ps|loaf
ps|Measure for herb
ps|Pitcher or drink
ps|loaf
pst|Cook
psi҆|Cook
psw|Cooking, baking
psn|loaf
psrgb|food
psḥ|bite, sting
psḥ|Bite, sting
psḫ|be confused
psḫ-sp|Shipbuilding
pss|work
pss|Work performance
psš|share
psšt|half
psšt|mat
psšti҆i҆|the two
psš-m-gswi҆|cut in half
psš-n-grḥ|midnight
psg|spit
psg|saliva
psg|spittoon
psgw|Timber
psti҆|Name of a servant
psdd|Name of the testicles of Seth
psḏ|Backbone, back
psḏ|move away from
psḏ|shine, shine
psḏ|light
psḏ|officially used
psḏ|nine
psḏ|Neon tissue
psḏ|Ship part:
psḏt|Luminous
psḏt|Ninth
psḏt|Unity of gods
psḏti҆|Nickname of the sun god
psḏti҆|pelican
psḏwi҆|double back piece
psḏi҆|helper
psḏn|officially used
psḏnti҆w|Day of the new moon
pš|share
pš|illness
pši҆|pustule
pši҆|noun
pšn|columns
pšn|gap
pšn|turn away from
pšn|Term for adversary
pšnt|officially used
pšs|share
pšs-kf|loaf
pšš|spread out
pḳi҆|irrigated area in the delta
pḳr|Osiris Tomb District in Abydos
pḳr|fragrant substance in kyphi preparation
pgꜣ|spread
pgꜣ|Way of sitting or standing
pgꜣ|Name of the earth god
pgꜣ|opening
pgꜣ|Battleground
pgꜣ|Butcher
pgꜣ|Bowl, vessel
pgꜣ|foreign device
pgꜣ-i҆b|frank
pgꜣ-ḥr|astute
pgꜣ-ḏrt|generous
pgꜣw|Washing device
pgi҆|from open wound
pgs|spit, saliva, spittoon
pgs|decorate, prepare
pggt|animal
ptpt|to step
ptr|see
ptr|please refer!
ptr|What?
ptr|Part of heaven
ptr|Waters
ptr|evil being
ptr|line
ptr|Mule
ptḥ|God Ptah
ptḥ|to open
ptḥ|form
ptḫ|prostrate oneself
ptḫt|swarm
ptt|Scorpio
ptt|(from the cultivable field]
pd|Ship part
pdw|liquids
pdwn|noun
pdr|fat
pdr|Measure for fruits
pds|box
pds|spread, destroy
pdst|little ball, pill
pdst|Wood species
pdsw|Rib piece
pdswt|Delta coast
pḏ|relax, stretch out
pḏ|Ball of incense
pḏ|to smoke
pḏ|Place name
pḏ|Part of the fishing net
pḏt|Measure for linen
pḏt|Measure for incense
pḏt|Name for the sky
pḏt|Name of a cow
pḏt|arc
pḏt|Barbarian tribe
pḏt|Troop
pḏti҆|Barbarian
pḏti҆|Archer
pḏ-ꜥḥꜥ|object
pḏ-nmtt|to walk far
pḏ-gst|walk far
pḏi҆|whet
pḏw|food
pḏw|Name of the flood
pḏwi҆|side walls
pḏpḏ|cling to
fꜣt|Application of the food
fꜣt|load
fꜣt|dust
fꜣt-wꜣwꜣ|Interest income?
fꜣ-wdnt|Victim-bearer
fꜣi҆|lift up
fꜣi҆|to lift
fꜣi҆|weigh
fꜣi҆|carrier
fꜣi҆|something made of {wD}
fꜣi҆|something made of semi-precious stone
fꜣi҆|Clothes racks
fꜣi҆t|Sponsorship of the idol
fꜣi҆t|Load of a ship
fꜣi҆t|Stretcher
fꜣi҆t|Stomach disease
fꜣi҆i҆|Weight
fꜣi҆-wḫꜣ|delivery boy
fꜣi҆-mhr|Milk jug carrier
fꜣi҆-ḥtꜣw|sailing
fꜣi҆-ḫni҆|To bear the burden
fꜣi҆-ṯꜣw|sailing
fꜣw|Delivery of meals
fꜣw|Makes
fꜣw|threat
fꜣw|Carrying service
fꜣḫw|Spitter
fꜣk|be bald
fꜣk|Bald
fꜣg|trigger
fi҆|he
fi҆|Fabric for clothes
fi҆w|feel disgusted
fi҆ṯ|to laugh at
fꜥ|hair
fꜥꜣ|Lock of hair
fꜥg|claw
fꜥgt|Nickname of Nechbet, [priestess of Nechbet
ff|?
ffi҆i҆|Lungs
fn|to be weak
fnfn|Ferryman of the afterlife
fnfnw|wage
fnḫ|carpenter
fnḫ|rope
fnḫ-i҆b|Smart
fnḫ-rꜣ|wise
fnḫw|Syrian people
fnṯ|Worm, snake, maggot
fnṯ|get mad
fnṯw|wasted meat
fnḏ|nose
fnḏ|to be angry
fnḏti҆i҆|the one with a long beak
fnḏ-n-nb|golden-beaked
fnḏi҆|Thoth
fḫ|dissolve, dissolve
fḫt|wig
fḳꜣ|cake
fḳꜣ|reward
fḳꜣ|reward
fḳꜣ|tear off
fḳꜣ|quickly out!
fk|be desolate, lie fallow
fk|be depressed
fkti҆|Bald
fkꜣ|be desolate
fgꜣ|rip
fgꜣ|empty themselves
fgn|urinate, shit
ft|feel disgusted
ft|Drink or oil
ft|of processing metal weapons
ft|Part of the neck collar
ftft|jump, jump up
ftt|wipe out
ftt|vegetable matter
fttw|Name of the fish
fd|wipe, wipe away
fd|Plant in kyphi preparation
fd|sweat
fd?|oil
fdt|Sweat
fdnw|fourth
fdi҆|run away
fdw|four
fdfd|apply, brush on
fdnw|document
fdḳ|cut, chop
fdḳ|Piece, piece
fdḳ|tear off
m|owl
m|in
m|as
m|take!
m|Not
m|it is not
m|who?
m|please refer
m?|adverb
m-ꜣw|dead
m-i҆wms|lying
m-i҆fd|in a hurry
m-i҆mnt|on the right side
m-i҆mni҆t|Every day
m-i҆sp|Build term
m-i҆šst|by which?
m-i҆trti҆|on both sides
m-i҆dn|as replacement for
m-ꜥ|in the hand of
m-ꜥ|by
m-ꜥwꜣ|predatory
m-ꜥb|along with
m-ꜥbꜥ|boastful
m-ꜥbw=f|unauthorized
m-ꜥrw|nearby
m-ꜥḫ|floating in the air
m-ꜥḳꜣ|across from
m-ꜥḏt|butchered
m-ꜥḏꜣw|lying
m-wꜣḥ|added
m-wꜣḏt|raw
m-wni҆|in a hurry, in a hurry
m-wnwt|at times
m-whm|in turn
m-whm-sp|in turn
m-wḫꜣ|at night
m-wsṯn|unhindered
m-wš|without
m-bꜣḥ|before, before, earlier
m-bi҆ꜣt|No
m-bnr|outside
m-pꜣi҆-sḫrw|so, that way
m-pḥwi҆|back
m-pẖr|within a radius of
m-mꜣꜥt|really
m-mꜣwt|New
m-mi҆tt|also
m-mi҆n|today
m-mnt|Every day
m-mrwt|in order to
m-mrrt|in the public
m-msḏḏ=f|even against his will
m-mšrw|in the evening
m-mk|in a festive mood
m-mtt|from the heart
m-mtt-i҆b|from the heart
m-mtr|at
m-nwḥt-ḥnwti҆|bound by horns = unwillingly
m-nf|wrongly
m-nṯṯ|tied up
m-rꜣ-ꜥ|also
m-rꜥ-bꜣk|unfinished
m-rwt|outside
m-rwti҆|outside of, without
m-rḫ|in the mind
m-rḫt-ꜥšꜣ|in large numbers
m-rk=f|next to someone
m-rdi҆|don't let that
m-hꜣt-i҆ri҆|before
m-hꜣw|nearby
m-hi҆ms|coming humbly
m-ḥꜣt-r-pḥwi҆|from front to back
m-ḥꜣw|more than
m-ḥꜣw|apart from
m-ḥꜥꜥwt|joyful
m-ḥwrꜥ|in a violent way
m-ḥwtf|predatory
m-ḥb|in a festive mood
m-ḥfꜣt|in a humble demeanor
m-ḥfꜣw|in a humble demeanor
m-ḥr|given, before
m-ḥrt|from above, upwards
m-ḥr-i҆b|in the middle of
m-ḥri҆t|above of
m-ḥrw|above of
m-ḥst|thanks to grace
m-ḥsi҆|opposite, opposite
m-ḥtp|happy, peaceful
m-ḫꜣw|by the thousands
m-ḫꜣḫ|in a hurry
m-ḫft-ḥr|in front
m-ḫnti҆|in this
m-ḫsfw|Hands stretched out in praise
m-ḫt|after, after, after
m-ḫt|after that
m-ḫt-nn|after that
m-ḫt-nḥḥ|future
m-ḫtw|Behind
m-ḫd|downstream
m-ẖms|in a stooped position
m-ẖnw|inside of
m-ẖnw-ḏww|in the middle of the mountains
m-ẖrw|downward
m-st-i҆ri҆|in the right place
m-st-nbt|all over
m-sꜣ|Behind
m-sꜣ|<< in legal texts >>
m-sꜣḥt|near
m-sꜣḥw|in the neighborhood of
m-si҆|by which?
m-sꜥmw|in inlay
m-sp|at once
m-sfn|unlawful
m-snt|in the manner of
m-sn-mnt|in misery
m-snn|on record
m-srf|warm
m-sḥwi҆|a total of
m-sḫꜣḫ|suddenly
m-sḫm|violent
m-sḫnw|in company of
m-sḫs|in a hurry
m-sḫsḫ|in a hurry
m-sḫd|upside down
m-ss|burned
m-ssf|burned
m-sš|written
m-sšꜣw|in contrast to
m-skmkm|completely
m-sti҆-m-ḥr|clearly visible in front of your eyes
m-sti҆-n|across from
m-sṯs|raised
m-sdꜣw|trembling
m-šꜣꜥ|in the beginning
m-šw|because of
m-šbb|brewed
m-šbb|in manifold
m-šbnw|of various kinds
m-šrš|in a hurry
m-štꜣw|in secret
m-ḳꜣb|inside of
m-ḳbb|in peace
m-ḳnt|victorious
m-ḳnḳn|in chunks, broken metal
m-ḳd|in the style of
m-ḳd|all around
m-ki҆-wꜥ|together
m-ksw|in bow
m-ksm|in bow
m-ktkt|secretly
m-gꜣw=f|when you need it
m-gꜣgꜣwt|amazed
m-gbgbt|heaps of it
m-gns|unlawful
m-grg|wrongly
m-gs-ḥri҆|above something
m-tꜣ-wnwt|now
m-twr|purely
m-tp|to something
m-tp-mꜣꜥ|to someone's side
m-tp-šw|in untidy condition
m-ṯꜣwt|thieving
m-dwꜣi҆t|In the morning
m-dwn|further
m-dmḏ|together
m-ḏꜣi҆t|wrongly
m-ḏw|in an evil way
m-ḏwt|in an evil way
m-ḏbt|in brick construction
m-ḏnḥ|Prisoners
m-ḏr|as
m-ḏri҆|at
m-ḏrw|in the area
mꜣ|sickle
mꜣ|Rear
mꜣ|Bug
mꜣ|antelope
mꜣ|plant
mꜣ|New
mꜣ|<< Change with {mn} >>
mꜣt|flute
mꜣt|pipe
mꜣt|New
mꜣt|tree
mꜣti҆|noun
mꜣti҆|Sun and moon as eyes of heaven
mꜣti҆i҆|end up
mꜣti҆i҆|noun
mꜣ-ḥꜣ=f|Ferryman in the sky
mꜣ-ḥḏ|white saber antelope
mꜣꜣ|see
mꜣꜣ|sight
mꜣꜣ|sanctuary
mꜣꜣ|tree
mꜣꜣ-i҆t=f|God of the 8th day of the lunar month
mꜣꜣ-i҆t=f|Patron god of Osiris
mꜣꜣ-i҆t=f|Ferryman in the sky
mꜣꜣt-ḥr|Edfu area
mꜣꜣ-sṯi҆|13 lunar month day
mꜣꜣ-kkwi҆|to get blind
mꜣi҆|lion
mꜣi҆|sphinx
mꜣi҆|Bier of Osiris
mꜣi҆|animal
mꜣi҆|Seminal fluid in the womb
mꜣi҆t|lioness
mꜣi҆t|Part of the temple
mꜣi҆-ḥsꜣ|Name for lion
mꜣi҆t-ḥsꜣt|lioness
mꜣꜥ|just, right, true
mꜣꜥ|Righteous
mꜣꜥ|be right
mꜣꜥ|Offering
mꜣꜥ|sailing
mꜣꜥ|duck
mꜣꜥ|temple
mꜣꜥ|Board
mꜣꜥ|shore
mꜣꜥ|Waters in the sky
mꜣꜥ|Waters
mꜣꜥ|Part of the door
mꜣꜥ|material
mꜣꜥ|Base, pedestal
mꜣꜥ|rope
mꜣꜥt|Right, truth
mꜣꜥt|Goddess of truth
mꜣꜥt|Bark of the sun
mꜣꜥti҆|both truths
mꜣꜥti҆|truly
mꜣꜥti҆|Waters
mꜣꜥw|Wood
mꜣꜥ-i҆b|sinless
mꜣꜥ-wꜥb|to be sacrificed
mꜣꜥ-ḥr-i҆b|pleasing
mꜣꜥ-ḥḏ|light stone or light mineral
mꜣꜥ-ḫrw|be justified
mꜣꜥ-ḫrw|justification
mꜣꜥ-ḫrw|Blessed
mꜣꜥt(i҆i҆)|Name of the mirror
mꜣꜥw|accuracy
mꜣꜥw|Valuables
mꜣꜥw|wind
mꜣꜥw|Ship part
mꜣw|noun
mꜣwt|novelty
mꜣwt|Uncharted territory
mꜣwt|floor
mꜣwt|Stalk of grain
mꜣwt|Chorus of a song
mꜣwt|Rays
mꜣwti҆|the renewed
mꜣwti҆|poor
mꜣwti҆|Designation of the testicles
mꜣw-ḥr|mirror
mꜣwti҆-ḥr|Smoker
mꜣwꜣ|disobey
mꜣwi҆|renew yourself
mꜣwi҆|enlighten
mꜣwi҆|West wind god
mꜣwr|write
mꜣwt|tears
mꜣwt|sadness
mꜣwti҆i҆|the radiant one
mꜣwḏ|Inscription about captured animals in the box
mꜣwḏ|floor
mꜣwḏ|Fron
mꜣwḏ|poor
mꜣwḏ|be adorned
mꜣf|Myrrh
mꜣft|tree
mꜣft?|?
mꜣfd|bracelet
mꜣfd|Cross country
mꜣfdt|cheetah
mꜣmꜣ|Dump palm
mꜣmꜣw|Dump palm fruits
mꜣmꜣwi҆|renew
mꜣmw|Deity
mꜣnw|West mountains
mꜣr|Needy
mꜣr|misery
mꜣr|displace
mꜣr|Name of the sky
mꜣrw|Pleasure house
mꜣht|door
mꜣḥ|clap
mꜣḥ|wreath
mꜣḥ|Rattles, castanets
mꜣḥi҆i҆t|Kind of wood or plant
mꜣḫ|Sheaf of corn
mꜣẖ|burn
mꜣs|knife
mꜣs|wounded, slaughtered
mꜣs|kneel
mꜣs|sink down
mꜣs|dance
mꜣs|Animal of red color
mꜣs|Name of the grain
mꜣs|from Apophisschlange
mꜣst|knee
mꜣst|Apron
mꜣst|Sandbar
mꜣsti҆|Ship part
mꜣsi҆i҆w|the kneeling
mꜣsti҆w|Deities
mꜣst|?
mꜣsd|body part
mꜣḳt|ladder
mꜣki҆|mineral
mꜣgf|Enjoy the meal
mꜣt|Name of the reclining figure of Osiris
mꜣt|tree
mꜣtt|plant
mꜣtt|Scorpio
mꜣti҆|Rod
mꜣti҆t|Goddess of the XII Gaus of Upper Egypt
mꜣti҆t|Plaintiff
mꜣtn|Noun; something to bite
mꜣṯ|proclaim
mꜣṯ|granite
mꜣṯ|think up, invent
mꜣṯ|praise
mꜣṯ|Crown
mꜣṯ|complain
mꜣṯt|Tree
mꜣṯ-rwḏt|hard granite
mꜣṯrt|Plaintiff
mꜣṯrw|weep
mꜣṯrt|Plant:
mꜣṯt|Plant:
mꜣd|Mineral substance used officially
mꜣdt|priestess
mꜣdi҆w|Servants who carry the food
mꜣdw|noun
mꜣdw|Medamut
mꜣd(d)|being sleepy
mi҆|Part of a stone construction / building
mi҆|bring in
mi҆|come over!
mi҆|take!
mi҆|water
mi҆|Seed
mi҆|who's there
mi҆|how
mi҆|as if
mi҆|encouraging call to cattle
mi҆|Ship part
mi҆|Mummy bandage
mi҆t|urine
mi҆t|Same thing
mi҆t|intoxicating drink
mi҆t|ship
mi҆t|path
mi҆t|cat
mi҆ti҆|Same
mi҆ti҆|copy
mi҆ti҆|Likeness
mi҆tt|Same thing
mi҆=n|let's give!
mi҆tt-i҆ri҆|likewise
mi҆-i҆ḫ|how?
mi҆-i҆ḫt|how
mi҆-i҆šst|how?
mi҆tt-pw|Likewise
mi҆-nt|how
mi҆-rꜣ-n|according to the ratio
mi҆-rꜥ-nb|everyday
mi҆-ḫpr|as follows
mi҆-ḫnt|like in old times
mi҆-sp-tpi҆|how are you
mi҆-sḫrw|in the style of
mi҆-sšm|as
mi҆-ḳi҆|- all, quite
mi҆-ḳd|in the style of
mi҆-ḳd=f|all
mi҆-ḏt-ḏt|forever
mi҆ꜣt|Farm building?
mi҆ꜣs|Spines
mi҆i҆|as well
mi҆i҆|Same
mi҆ꜥ?|noun
mi҆ꜥt|House
mi҆ꜥḥꜥt|Place of worship, grave
mi҆tw|Same as
mi҆w|such a
mi҆w|Male cat
mi҆w|Metal device
mi҆w|hairstyle
mi҆wti҆|Cat-headed
mi҆wḥ|Rudder
mi҆bt|ax
mi҆mt|officially used plant
mi҆mi҆|fruit
mi҆n|today
mi҆n|Designation of the contemporary of a living king
mi҆n|Drink made from grapes
mi҆nt|drink
mi҆nt|Waters
mi҆nt|estate
mi҆nꜣ|here
mi҆nꜣ|so
mi҆ni҆ḫs|Wood from Nubia
mi҆nw|Semi-precious stone
mi҆nw|Shepherd
mi҆nwt|port
mi҆nb|ax
mi҆ḥw|Rudder
mi҆ḫt|Noun as a toponym
mi҆st|horn-bearing animal
mi҆s(t)|the tall piece at the back of the red crown
mi҆s|noun
mi҆st|liver
mi҆swt|white crown
mi҆swt|Plant from the Wadi Natrun
mi҆kt|goddess
mi҆kꜣt|officially used fruit
mi҆trt|Female title
mi҆dꜣ|edible beef body part
mꜥ|Foot bath
mꜥt|ship
mꜥꜣ|Mast, stake
mꜥꜣꜥwi҆|Spars of the ladder
mꜥi҆t|eyelet
mꜥi҆ꜣt|Throwing wood
mꜥi҆rt|fruit
mꜥꜥ|something to beware of
mꜥꜥmꜣ|noun
mꜥwḥw|Rudder
mꜥbꜣ|thirty
mꜥbꜣ|spear
mꜥbꜣ|Spearmen
mꜥbꜣw|the thirty fields
mꜥbꜣ-ḥswti҆|Favorite harpoon
mꜥbꜣi҆t|Court of Thirty
mꜥbꜣi҆i҆w|Quorum of Thirty
mꜥf|Block to the head
mꜥn|beautify
mꜥn|Give bastinado
mꜥnn|to be wound around
mꜥnn|Rope twisted from two strands
mꜥnn|Torture instrument that is used to twist the limbs
mꜥnḫt|tassel
